_Business Name,"Blue Ridge Comfort Systems, LLC"
_Owner Name,Dale
_Industry,HVAC
_Location,Columbus GA
_Month,June 2026
_Tier,pro
_Revenue,64800
_Net Income,12150
_Prior Revenue,58420
_Prior Margin,20.8
_Uncategorized,9
_Opening Cash,33950
Date,Description,Amount,Account
2026-06-02,ACH deposit · ServiceTitan payout ••••8841,16880,Synovus Checking ••••4120
2026-06-04,Carrier Enterprise · 3-ton condenser units (x2),-7180,Synovus Checking ••••4120
2026-06-06,"Fuel · RaceTrac, Manchester Expy",-744,WEX Fleet Card ••••2207
2026-06-09,Gusto · payroll run (5 techs + 1 office, OT),-22980,Synovus Checking ••••4120
2026-06-11,Zelle deposit · M. Whitfield ••••3318,7450,Synovus Checking ••••4120
2026-06-13,The Home Depot #0114 · Airport Thruway,-902,Business Visa ••••6677
2026-06-15,Ferguson HVAC #4471 · line sets & refrigerant,-2640,Business Visa ••••6677
2026-06-16,Synovus Bank · monthly service charge,-29,Synovus Checking ••••4120
2026-06-17,ACH deposit · ServiceTitan payout ••••8841,13120,Synovus Checking ••••4120
2026-06-18,Cintas · uniform & mat service,-186,Business Visa ••••6677
2026-06-19,"Fuel · Circle K, Buena Vista Rd",-690,WEX Fleet Card ••••2207
2026-06-20,Cincinnati Insurance · GL + commercial auto,-890,Synovus Checking ••••4120
2026-06-22,Lennox · invoice #LX-90233 (RTU + coil),-4120,Synovus Checking ••••4120
2026-06-23,ServiceTitan · monthly software subscription,-329,Business Visa ••••6677
2026-06-24,Google Ads · acct ••••0931 (summer push),-1180,Business Visa ••••6677
2026-06-25,ACH deposit · ServiceTitan payout ••••8841,12380,Synovus Checking ••••4120
2026-06-26,Temp labor · seasonal install helper (1099),-1850,Synovus Checking ••••4120
2026-06-27,Zelle deposit · D. Castellano ••••7702,6870,Synovus Checking ••••4120
2026-06-29,Gusto · payroll run (5 techs + 1 office, OT),-22980,Synovus Checking ••••4120
2026-06-30,Transfer to Synovus Savings ••••3390 · owner,-3000,Synovus Checking ••••4120
2026-06-30,Service-van loan · Ally Financial ••••7781,-720,Synovus Checking ••••4120
